날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,하이브,352820,KOSPI,224000,225500,219000,220500,126869,0.0,78,ACE KPOP포커스
2025-01-21,하이브,352820,KOSPI,220500,226000,217000,218000,182290,-1.13,78,ACE KPOP포커스
2025-01-22,하이브,352820,KOSPI,218500,221500,215000,220000,148873,0.92,78,ACE KPOP포커스
2025-01-23,하이브,352820,KOSPI,220500,224000,217000,217000,112256,-1.36,78,ACE KPOP포커스
2025-01-24,하이브,352820,KOSPI,217000,225500,217000,221500,165415,2.07,78,ACE KPOP포커스
2025-01-31,하이브,352820,KOSPI,222500,228500,221500,225000,213053,1.58,78,ACE KPOP포커스
2025-02-03,하이브,352820,KOSPI,221500,228000,221500,226500,154897,0.67,78,ACE KPOP포커스
2025-02-04,하이브,352820,KOSPI,227500,234500,225500,233000,194480,2.87,78,ACE KPOP포커스
2025-02-05,하이브,352820,KOSPI,235500,237500,231500,236000,177305,1.29,78,ACE KPOP포커스
2025-02-06,하이브,352820,KOSPI,237500,242000,233500,237000,182579,0.42,78,ACE KPOP포커스
2025-02-07,하이브,352820,KOSPI,237000,238000,233500,234500,103131,-1.05,78,ACE KPOP포커스
2025-02-10,하이브,352820,KOSPI,240000,245500,236500,238000,235775,1.49,78,ACE KPOP포커스
2025-02-11,하이브,352820,KOSPI,240000,247000,239000,245500,240798,3.15,78,ACE KPOP포커스
2025-02-12,하이브,352820,KOSPI,246500,250500,243000,250000,196507,1.83,78,ACE KPOP포커스
2025-02-13,하이브,352820,KOSPI,250000,254500,245500,247500,194126,-1.0,78,ACE KPOP포커스
2025-02-14,하이브,352820,KOSPI,247500,249500,244500,248000,171668,0.2,78,ACE KPOP포커스
2025-02-17,하이브,352820,KOSPI,248000,248000,238000,240000,208854,-3.23,78,ACE KPOP포커스
2025-02-18,하이브,352820,KOSPI,241500,245500,238500,243000,125070,1.25,78,ACE KPOP포커스
2025-02-19,하이브,352820,KOSPI,245000,245500,240000,245000,138868,0.82,78,ACE KPOP포커스
2025-02-20,하이브,352820,KOSPI,257000,263000,246000,248500,480156,1.43,78,ACE KPOP포커스
2025-02-21,하이브,352820,KOSPI,248500,250500,243500,245500,166249,-1.21,78,ACE KPOP포커스
2025-02-24,하이브,352820,KOSPI,242500,247500,241000,246000,139031,0.2,78,ACE KPOP포커스
2025-02-25,하이브,352820,KOSPI,246000,254000,245500,251000,188260,2.03,78,ACE KPOP포커스
2025-02-26,하이브,352820,KOSPI,248000,261500,247500,253000,289435,0.8,78,ACE KPOP포커스
2025-02-27,하이브,352820,KOSPI,252500,262500,251000,262500,237104,3.75,78,ACE KPOP포커스
2025-02-28,하이브,352820,KOSPI,258500,263000,253000,257500,295956,-1.9,78,ACE KPOP포커스
2025-03-04,하이브,352820,KOSPI,257000,257500,248000,251000,212321,-2.52,78,ACE KPOP포커스
2025-03-05,하이브,352820,KOSPI,251000,252500,248000,251000,175950,0.0,78,ACE KPOP포커스
2025-03-06,하이브,352820,KOSPI,252000,253000,244500,250000,173575,-0.4,78,ACE KPOP포커스
2025-03-07,하이브,352820,KOSPI,248500,252500,247000,250000,117062,0.0,78,ACE KPOP포커스
2025-03-10,하이브,352820,KOSPI,248500,248500,232500,239000,302992,-4.4,78,ACE KPOP포커스
2025-03-11,하이브,352820,KOSPI,231000,242000,231000,237000,167065,-0.84,78,ACE KPOP포커스
2025-03-12,하이브,352820,KOSPI,236000,238000,231000,233000,212297,-1.69,78,ACE KPOP포커스
2025-03-13,하이브,352820,KOSPI,231500,233500,229500,233500,193942,0.21,78,ACE KPOP포커스
2025-03-14,하이브,352820,KOSPI,231500,234000,225500,232000,195374,-0.64,78,ACE KPOP포커스
2025-03-17,하이브,352820,KOSPI,231500,241000,229000,238500,187752,2.8,78,ACE KPOP포커스
2025-03-18,하이브,352820,KOSPI,240000,240500,228500,228500,214516,-4.19,78,ACE KPOP포커스
