날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,SK하이닉스,000660,KOSPI,219000,219000,210500,212000,3036234,0.0,82,"KODEX 200,KODEX 반도체"
2025-01-21,SK하이닉스,000660,KOSPI,216500,220000,214000,218000,3323212,2.83,82,"KODEX 200,KODEX 반도체"
2025-01-22,SK하이닉스,000660,KOSPI,221500,227000,217000,225500,5901740,3.44,82,"KODEX 200,KODEX 반도체"
2025-01-23,SK하이닉스,000660,KOSPI,221000,225500,215000,219500,5994781,-2.66,82,"KODEX 200,KODEX 반도체"
2025-01-24,SK하이닉스,000660,KOSPI,220500,227000,217500,221000,3771572,0.68,82,"KODEX 200,KODEX 반도체"
2025-01-31,SK하이닉스,000660,KOSPI,197000,204500,194800,199200,11871995,-9.86,82,"KODEX 200,KODEX 반도체"
2025-02-03,SK하이닉스,000660,KOSPI,191500,193200,186900,190900,7926444,-4.17,82,"KODEX 200,KODEX 반도체"
2025-02-04,SK하이닉스,000660,KOSPI,192900,194300,190100,191100,5851146,0.1,82,"KODEX 200,KODEX 반도체"
2025-02-05,SK하이닉스,000660,KOSPI,191900,199400,191900,198800,4245118,4.03,82,"KODEX 200,KODEX 반도체"
2025-02-06,SK하이닉스,000660,KOSPI,202000,205000,200500,203500,4032622,2.36,82,"KODEX 200,KODEX 반도체"
2025-02-07,SK하이닉스,000660,KOSPI,205000,206000,200500,203000,2206293,-0.25,82,"KODEX 200,KODEX 반도체"
2025-02-10,SK하이닉스,000660,KOSPI,197800,203000,197000,198100,2779740,-2.41,82,"KODEX 200,KODEX 반도체"
2025-02-11,SK하이닉스,000660,KOSPI,201000,201500,198000,199700,2488710,0.81,82,"KODEX 200,KODEX 반도체"
2025-02-12,SK하이닉스,000660,KOSPI,196500,199900,196000,198900,2884072,-0.4,82,"KODEX 200,KODEX 반도체"
2025-02-13,SK하이닉스,000660,KOSPI,198800,208500,198100,208500,3574410,4.83,82,"KODEX 200,KODEX 반도체"
2025-02-14,SK하이닉스,000660,KOSPI,209000,212000,206500,210000,2598656,0.72,82,"KODEX 200,KODEX 반도체"
2025-02-17,SK하이닉스,000660,KOSPI,211500,216000,211000,212000,2497922,0.95,82,"KODEX 200,KODEX 반도체"
2025-02-18,SK하이닉스,000660,KOSPI,212000,215000,207000,210000,1937894,-0.94,82,"KODEX 200,KODEX 반도체"
2025-02-19,SK하이닉스,000660,KOSPI,216000,219500,214000,218500,3537720,4.05,82,"KODEX 200,KODEX 반도체"
2025-02-20,SK하이닉스,000660,KOSPI,217000,218500,211000,212000,3080242,-2.97,82,"KODEX 200,KODEX 반도체"
2025-02-21,SK하이닉스,000660,KOSPI,209500,211000,205500,209500,2601151,-1.18,82,"KODEX 200,KODEX 반도체"
2025-02-24,SK하이닉스,000660,KOSPI,202500,205000,201000,205000,3087127,-2.15,82,"KODEX 200,KODEX 반도체"
2025-02-25,SK하이닉스,000660,KOSPI,199800,202000,199200,200500,3651613,-2.2,82,"KODEX 200,KODEX 반도체"
2025-02-26,SK하이닉스,000660,KOSPI,199000,206000,198600,203000,3849749,1.25,82,"KODEX 200,KODEX 반도체"
2025-02-27,SK하이닉스,000660,KOSPI,204500,205000,198100,199200,3993419,-1.87,82,"KODEX 200,KODEX 반도체"
2025-02-28,SK하이닉스,000660,KOSPI,191600,193000,188700,190200,5533027,-4.52,82,"KODEX 200,KODEX 반도체"
2025-03-04,SK하이닉스,000660,KOSPI,184800,187500,184000,186100,5424556,-2.16,82,"KODEX 200,KODEX 반도체"
2025-03-05,SK하이닉스,000660,KOSPI,188200,194400,186600,193100,4162368,3.76,82,"KODEX 200,KODEX 반도체"
2025-03-06,SK하이닉스,000660,KOSPI,193500,194000,190300,192400,2540131,-0.36,82,"KODEX 200,KODEX 반도체"
2025-03-07,SK하이닉스,000660,KOSPI,191000,192800,187900,192400,2700590,0.0,82,"KODEX 200,KODEX 반도체"
2025-03-10,SK하이닉스,000660,KOSPI,187500,191500,187300,187900,2441476,-2.34,82,"KODEX 200,KODEX 반도체"
2025-03-11,SK하이닉스,000660,KOSPI,182100,189000,181300,187800,3521800,-0.05,82,"KODEX 200,KODEX 반도체"
2025-03-12,SK하이닉스,000660,KOSPI,192400,199350,189700,198900,4064278,5.91,82,"KODEX 200,KODEX 반도체"
2025-03-13,SK하이닉스,000660,KOSPI,202500,204500,195500,199700,3883033,0.4,82,"KODEX 200,KODEX 반도체"
2025-03-14,SK하이닉스,000660,KOSPI,198500,206000,198500,204500,3397462,2.4,82,"KODEX 200,KODEX 반도체"
2025-03-17,SK하이닉스,000660,KOSPI,207000,209500,203500,206000,2584679,0.73,82,"KODEX 200,KODEX 반도체"
2025-03-18,SK하이닉스,000660,KOSPI,208500,209000,201000,203000,2696191,-1.46,82,"KODEX 200,KODEX 반도체"
