종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
012450,한화에어로스페이스,KOSPI,286249.69108,20240329,214654,232757,208448,211551,4009941
012450,한화에어로스페이스,KOSPI,286249.69108,20240405,214137,253447,207413,219827,7766279
012450,한화에어로스페이스,KOSPI,286249.69108,20240412,219310,229654,212585,224482,2168265
012450,한화에어로스페이스,KOSPI,286249.69108,20240419,228620,248792,214137,242068,4376824
012450,한화에어로스페이스,KOSPI,286249.69108,20240426,244654,258102,226551,243103,3686767
012450,한화에어로스페이스,KOSPI,286249.69108,20240503,243103,244137,217240,222931,2711887
012450,한화에어로스페이스,KOSPI,286249.69108,20240510,224482,230172,218792,225517,1223290
012450,한화에어로스페이스,KOSPI,286249.69108,20240517,225516,230688,214654,215172,1055600
012450,한화에어로스페이스,KOSPI,286249.69108,20240524,214654,219310,200689,211034,1565266
012450,한화에어로스페이스,KOSPI,286249.69108,20240531,211550,233275,210516,212068,2243262
012450,한화에어로스페이스,KOSPI,286249.69108,20240607,220344,251895,213102,216724,4732852
012450,한화에어로스페이스,KOSPI,286249.69108,20240614,214654,242585,213620,236379,2349555
012450,한화에어로스페이스,KOSPI,286249.69108,20240621,239999,264827,235861,244137,4128825
012450,한화에어로스페이스,KOSPI,286249.69108,20240628,244654,258620,234309,258103,1989156
012450,한화에어로스페이스,KOSPI,286249.69108,20240705,256033,260171,237930,249827,1723703
012450,한화에어로스페이스,KOSPI,286249.69108,20240712,249827,282930,249309,262241,2869677
012450,한화에어로스페이스,KOSPI,286249.69108,20240719,273619,298448,267412,291206,4366044
012450,한화에어로스페이스,KOSPI,286249.69108,20240726,293275,323275,279309,308793,3867825
012450,한화에어로스페이스,KOSPI,286249.69108,20240802,314999,341378,295344,298965,4998975
012450,한화에어로스페이스,KOSPI,286249.69108,20240809,294826,319137,255516,313965,4860012
012450,한화에어로스페이스,KOSPI,286249.69108,20240816,315516,328447,309826,315517,1540844
012450,한화에어로스페이스,KOSPI,286249.69108,20240823,316550,325343,284482,285000,2319540
012450,한화에어로스페이스,KOSPI,286249.69108,20240830,287068,306724,0,300000,1640253
012450,한화에어로스페이스,KOSPI,286249.69108,20240906,0,0,0,300000,0
012450,한화에어로스페이스,KOSPI,286249.69108,20240913,0,0,0,300000,0
012450,한화에어로스페이스,KOSPI,286249.69108,20240920,0,0,0,300000,0
012450,한화에어로스페이스,KOSPI,286249.69108,20240927,0,321000,0,317000,1553930
012450,한화에어로스페이스,KOSPI,286249.69108,20241004,317000,341500,297000,337500,2309321
012450,한화에어로스페이스,KOSPI,286249.69108,20241011,340500,368500,340000,356500,2231286
012450,한화에어로스페이스,KOSPI,286249.69108,20241018,363000,395000,351000,387500,1968561
012450,한화에어로스페이스,KOSPI,286249.69108,20241025,390000,392000,368000,378000,1479168
012450,한화에어로스페이스,KOSPI,286249.69108,20241101,379500,388000,353500,378500,1510195
012450,한화에어로스페이스,KOSPI,286249.69108,20241108,379000,407000,358500,403500,2463003
012450,한화에어로스페이스,KOSPI,286249.69108,20241115,406000,425000,398500,407000,1635955
012450,한화에어로스페이스,KOSPI,286249.69108,20241122,407000,407000,348500,379500,1814484
012450,한화에어로스페이스,KOSPI,286249.69108,20241129,377000,378000,312500,312500,2937517
012450,한화에어로스페이스,KOSPI,286249.69108,20241206,314500,342500,286000,298000,2897757
012450,한화에어로스페이스,KOSPI,286249.69108,20241213,283500,324000,270000,323000,2754364
012450,한화에어로스페이스,KOSPI,286249.69108,20241220,332500,333000,297500,305000,1547852
012450,한화에어로스페이스,KOSPI,286249.69108,20241227,306500,330000,306500,319000,898731
012450,한화에어로스페이스,KOSPI,286249.69108,20250103,317000,368000,317000,362000,1009274
012450,한화에어로스페이스,KOSPI,286249.69108,20250110,362500,392000,360500,378500,1730521
012450,한화에어로스페이스,KOSPI,286249.69108,20250117,381000,402000,378000,382500,1306843
012450,한화에어로스페이스,KOSPI,286249.69108,20250124,393000,414000,374500,411500,1357836
012450,한화에어로스페이스,KOSPI,286249.69108,20250131,414500,415000,397000,400000,419665
012450,한화에어로스페이스,KOSPI,286249.69108,20250207,392000,439000,384500,418000,1659998
012450,한화에어로스페이스,KOSPI,286249.69108,20250214,423500,539000,411000,533000,5312534
012450,한화에어로스페이스,KOSPI,286249.69108,20250221,533000,668000,528000,660000,4247341
012450,한화에어로스페이스,KOSPI,286249.69108,20250228,658000,701000,592000,594000,2436628
012450,한화에어로스페이스,KOSPI,286249.69108,20250307,633000,740000,627000,731000,3570322
012450,한화에어로스페이스,KOSPI,286249.69108,20250314,732000,745000,645000,705000,2638197
012450,한화에어로스페이스,KOSPI,286249.69108,20250321,714000,781000,608000,628000,3752229
012450,한화에어로스페이스,KOSPI,286249.69108,20250328,764000,781000,608000,628000,3086123
