종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
257720,실리콘투,KOSDAQ,17372.821872,20240329,11400,12730,11050,11780,10730574
257720,실리콘투,KOSDAQ,17372.821872,20240405,11940,13200,11940,12300,11368208
257720,실리콘투,KOSDAQ,17372.821872,20240412,12210,13850,11640,13760,6221998
257720,실리콘투,KOSDAQ,17372.821872,20240419,13530,13850,12130,12810,7374206
257720,실리콘투,KOSDAQ,17372.821872,20240426,12790,13770,12660,13610,4256407
257720,실리콘투,KOSDAQ,17372.821872,20240503,13610,15500,13600,15100,6403776
257720,실리콘투,KOSDAQ,17372.821872,20240510,15110,26250,14810,26250,35842849
257720,실리콘투,KOSDAQ,17372.821872,20240517,26000,29900,24500,29550,16795049
257720,실리콘투,KOSDAQ,17372.821872,20240524,28800,34600,28150,33950,9475942
257720,실리콘투,KOSDAQ,17372.821872,20240531,34850,41350,34400,37750,10396358
257720,실리콘투,KOSDAQ,17372.821872,20240607,40050,44850,38600,44000,15301156
257720,실리콘투,KOSDAQ,17372.821872,20240614,43050,52000,42700,51200,11305796
257720,실리콘투,KOSDAQ,17372.821872,20240621,50900,54200,47600,52800,11052087
257720,실리콘투,KOSDAQ,17372.821872,20240628,52500,53200,44250,47000,12075391
257720,실리콘투,KOSDAQ,17372.821872,20240705,47150,48850,41000,41400,17018640
257720,실리콘투,KOSDAQ,17372.821872,20240712,40400,50100,40250,42450,13360116
257720,실리콘투,KOSDAQ,17372.821872,20240719,43500,45600,40300,43500,9169753
257720,실리콘투,KOSDAQ,17372.821872,20240726,44100,48550,41000,42050,8201400
257720,실리콘투,KOSDAQ,17372.821872,20240802,42350,47450,41650,42050,7226523
257720,실리콘투,KOSDAQ,17372.821872,20240809,40200,46600,32150,45250,12617890
257720,실리콘투,KOSDAQ,17372.821872,20240816,45350,47550,39500,45200,20957242
257720,실리콘투,KOSDAQ,17372.821872,20240823,45300,46150,40150,42700,10120026
257720,실리콘투,KOSDAQ,17372.821872,20240830,42900,42900,36450,38600,9071086
257720,실리콘투,KOSDAQ,17372.821872,20240906,41000,44200,38300,39400,10293992
257720,실리콘투,KOSDAQ,17372.821872,20240913,38100,45250,38100,44200,10067334
257720,실리콘투,KOSDAQ,17372.821872,20240920,44650,47700,42550,45950,5488261
257720,실리콘투,KOSDAQ,17372.821872,20240927,46350,47550,43450,43850,5569548
257720,실리콘투,KOSDAQ,17372.821872,20241004,44050,47400,42250,42850,6330245
257720,실리콘투,KOSDAQ,17372.821872,20241011,43300,43950,40800,41050,4515151
257720,실리콘투,KOSDAQ,17372.821872,20241018,41500,41950,39500,40000,5700400
257720,실리콘투,KOSDAQ,17372.821872,20241025,40550,42400,35950,35950,7026419
257720,실리콘투,KOSDAQ,17372.821872,20241101,36250,39600,36250,36750,4402443
257720,실리콘투,KOSDAQ,17372.821872,20241108,36850,42300,36850,41250,6477501
257720,실리콘투,KOSDAQ,17372.821872,20241115,40350,40500,26800,28050,17222490
257720,실리콘투,KOSDAQ,17372.821872,20241122,27400,28900,25400,25750,7951743
257720,실리콘투,KOSDAQ,17372.821872,20241129,26050,27050,23900,24500,6000096
257720,실리콘투,KOSDAQ,17372.821872,20241206,25050,28600,24450,25650,9422099
257720,실리콘투,KOSDAQ,17372.821872,20241213,25000,30250,23300,30100,10011736
257720,실리콘투,KOSDAQ,17372.821872,20241220,30550,33000,28400,31750,7283629
257720,실리콘투,KOSDAQ,17372.821872,20241227,31750,34100,30350,30700,6391043
257720,실리콘투,KOSDAQ,17372.821872,20250103,30650,35100,30100,34550,4388952
257720,실리콘투,KOSDAQ,17372.821872,20250110,35150,35850,31850,31850,5270899
257720,실리콘투,KOSDAQ,17372.821872,20250117,31900,34200,30600,33900,5515628
257720,실리콘투,KOSDAQ,17372.821872,20250124,34550,34650,31350,31750,4861495
257720,실리콘투,KOSDAQ,17372.821872,20250131,31800,32000,30750,30850,624948
257720,실리콘투,KOSDAQ,17372.821872,20250207,29950,30800,28150,28550,4266954
257720,실리콘투,KOSDAQ,17372.821872,20250214,28550,31550,27100,30950,5234902
257720,실리콘투,KOSDAQ,17372.821872,20250221,30950,34000,30650,33800,5481634
257720,실리콘투,KOSDAQ,17372.821872,20250228,33800,36800,25350,26650,21567802
257720,실리콘투,KOSDAQ,17372.821872,20250307,26200,26900,24650,25250,4760834
257720,실리콘투,KOSDAQ,17372.821872,20250314,25250,27100,23600,26800,5454889
257720,실리콘투,KOSDAQ,17372.821872,20250321,27050,29600,26000,28400,10266556
257720,실리콘투,KOSDAQ,17372.821872,20250328,26550,29600,26200,28400,9690412
