종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
310210,보로노이,KOSDAQ,22815.300294,20240329,38300,39500,35200,35800,610688
310210,보로노이,KOSDAQ,22815.300294,20240405,36650,36900,30600,31300,643714
310210,보로노이,KOSDAQ,22815.300294,20240412,31600,32500,30150,31650,352338
310210,보로노이,KOSDAQ,22815.300294,20240419,30900,31450,28350,29300,431855
310210,보로노이,KOSDAQ,22815.300294,20240426,29800,32450,29350,30900,474959
310210,보로노이,KOSDAQ,22815.300294,20240503,28850,33200,28850,31850,445656
310210,보로노이,KOSDAQ,22815.300294,20240510,32500,33000,31250,32450,205058
310210,보로노이,KOSDAQ,22815.300294,20240517,32700,35250,30600,34100,538839
310210,보로노이,KOSDAQ,22815.300294,20240524,34100,37400,33350,36600,464801
310210,보로노이,KOSDAQ,22815.300294,20240531,36600,42850,35500,41500,1300660
310210,보로노이,KOSDAQ,22815.300294,20240607,40950,48950,40900,48250,1071303
310210,보로노이,KOSDAQ,22815.300294,20240614,48000,49500,41800,42450,1133343
310210,보로노이,KOSDAQ,22815.300294,20240621,42500,50600,38750,50300,1574990
310210,보로노이,KOSDAQ,22815.300294,20240628,51000,51600,46450,48850,732206
310210,보로노이,KOSDAQ,22815.300294,20240705,48500,63200,48300,61700,2257711
310210,보로노이,KOSDAQ,22815.300294,20240712,62700,80200,62000,80200,2523580
310210,보로노이,KOSDAQ,22815.300294,20240719,83300,84000,66900,72100,3216312
310210,보로노이,KOSDAQ,22815.300294,20240726,71000,80900,69000,80300,1252060
310210,보로노이,KOSDAQ,22815.300294,20240802,81800,83400,75000,77800,1187861
310210,보로노이,KOSDAQ,22815.300294,20240809,73600,77900,54500,76200,3024625
310210,보로노이,KOSDAQ,22815.300294,20240816,77000,78000,65100,70700,958169
310210,보로노이,KOSDAQ,22815.300294,20240823,68800,70500,63000,70000,950026
310210,보로노이,KOSDAQ,22815.300294,20240830,73800,89700,72300,86600,2906130
310210,보로노이,KOSDAQ,22815.300294,20240906,86000,86000,70800,78700,1812714
310210,보로노이,KOSDAQ,22815.300294,20240913,75400,82400,73700,80700,1160767
310210,보로노이,KOSDAQ,22815.300294,20240920,81400,96000,80900,95900,952047
310210,보로노이,KOSDAQ,22815.300294,20240927,94900,98000,87900,94000,1177706
310210,보로노이,KOSDAQ,22815.300294,20241004,94900,101700,91800,100400,577858
310210,보로노이,KOSDAQ,22815.300294,20241011,100500,110900,98000,108600,856830
310210,보로노이,KOSDAQ,22815.300294,20241018,109300,117000,102800,113700,953271
310210,보로노이,KOSDAQ,22815.300294,20241025,113600,118900,100700,103200,1611854
310210,보로노이,KOSDAQ,22815.300294,20241101,104000,113300,99300,108000,960025
310210,보로노이,KOSDAQ,22815.300294,20241108,108000,122200,102000,120000,1206480
310210,보로노이,KOSDAQ,22815.300294,20241115,120800,125900,104200,109400,1219609
310210,보로노이,KOSDAQ,22815.300294,20241122,105500,106700,63000,78300,2659379
310210,보로노이,KOSDAQ,22815.300294,20241129,81000,87500,72500,74100,1386274
310210,보로노이,KOSDAQ,22815.300294,20241206,75600,85800,70700,78700,1582427
310210,보로노이,KOSDAQ,22815.300294,20241213,75000,81900,68000,79500,1493612
310210,보로노이,KOSDAQ,22815.300294,20241220,80800,81300,68000,68300,1139310
310210,보로노이,KOSDAQ,22815.300294,20241227,68800,86500,68300,79500,1512207
310210,보로노이,KOSDAQ,22815.300294,20250103,79000,86500,77800,85400,618606
310210,보로노이,KOSDAQ,22815.300294,20250110,84600,88800,75000,78500,1171368
310210,보로노이,KOSDAQ,22815.300294,20250117,76400,84700,75300,79800,1114253
310210,보로노이,KOSDAQ,22815.300294,20250124,79200,81300,72800,80300,920311
310210,보로노이,KOSDAQ,22815.300294,20250131,81500,86100,81500,86100,270778
310210,보로노이,KOSDAQ,22815.300294,20250207,86000,107800,80900,104000,1536831
310210,보로노이,KOSDAQ,22815.300294,20250214,113700,119500,104000,114400,1454027
310210,보로노이,KOSDAQ,22815.300294,20250221,115600,123500,103100,107200,1278030
310210,보로노이,KOSDAQ,22815.300294,20250228,105500,118500,103600,111700,787266
310210,보로노이,KOSDAQ,22815.300294,20250307,113200,152100,110300,148800,1826535
310210,보로노이,KOSDAQ,22815.300294,20250314,146500,153000,131600,136600,958967
310210,보로노이,KOSDAQ,22815.300294,20250321,137300,140200,122200,124200,1395486
310210,보로노이,KOSDAQ,22815.300294,20250328,132700,140200,122200,124200,1096167
