날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-10-31,9130,9870,9090,9705,29857,139240,TIGER 200 철강소재
2024-11-01,9715,9820,9545,9600,26576,139240,TIGER 200 철강소재
2024-11-04,9605,9960,9600,9910,8313,139240,TIGER 200 철강소재
2024-11-06,10350,10410,9915,9960,30507,139240,TIGER 200 철강소재
2024-11-07,9905,10035,9805,9990,6272,139240,TIGER 200 철강소재
2024-11-08,10005,10155,9500,9740,27750,139240,TIGER 200 철강소재
2024-11-11,9645,9700,9355,9630,5553,139240,TIGER 200 철강소재
2024-11-12,9500,9650,9400,9435,6365,139240,TIGER 200 철강소재
2024-11-13,9425,9425,8630,8735,48724,139240,TIGER 200 철강소재
2024-11-14,8800,8905,8650,8840,901,139240,TIGER 200 철강소재
2024-11-15,8570,8605,8495,8600,3557,139240,TIGER 200 철강소재
2024-11-18,8585,8790,8585,8720,1051,139240,TIGER 200 철강소재
2024-11-19,8720,8720,8645,8705,790,139240,TIGER 200 철강소재
2024-11-20,8710,8770,8675,8730,1753,139240,TIGER 200 철강소재
2024-11-21,8690,8770,8620,8645,337,139240,TIGER 200 철강소재
2024-11-22,8645,8670,8570,8570,6398,139240,TIGER 200 철강소재
2024-11-25,8745,8745,8560,8585,16466,139240,TIGER 200 철강소재
2024-11-26,8570,8595,8545,8565,604,139240,TIGER 200 철강소재
2024-11-27,8660,8845,8640,8715,31644,139240,TIGER 200 철강소재
2024-11-28,8715,9215,8715,9065,9996,139240,TIGER 200 철강소재
2024-11-29,9065,9080,8945,8950,5679,139240,TIGER 200 철강소재
2024-12-02,9150,9765,9150,9375,184098,139240,TIGER 200 철강소재
2024-12-03,9600,10000,9485,9850,100022,139240,TIGER 200 철강소재
2024-12-04,9850,10150,9500,9960,78269,139240,TIGER 200 철강소재
2024-12-05,10170,10450,9960,10450,120226,139240,TIGER 200 철강소재
2024-12-06,10825,11315,9745,10020,286554,139240,TIGER 200 철강소재
2024-12-09,10020,10020,9060,9110,163801,139240,TIGER 200 철강소재
2024-12-10,9105,9720,9105,9620,104489,139240,TIGER 200 철강소재
2024-12-11,9715,9715,9380,9395,127563,139240,TIGER 200 철강소재
2024-12-12,9325,9395,9170,9380,21705,139240,TIGER 200 철강소재
2024-12-13,9380,9380,9195,9220,22621,139240,TIGER 200 철강소재
2024-12-16,9220,9360,9070,9070,264274,139240,TIGER 200 철강소재
2024-12-17,9175,9175,8900,8900,82209,139240,TIGER 200 철강소재
2024-12-18,8955,9055,8955,9055,102405,139240,TIGER 200 철강소재
2024-12-19,8930,8930,8710,8925,19196,139240,TIGER 200 철강소재
2024-12-20,8880,8880,8570,8585,22235,139240,TIGER 200 철강소재
2024-12-23,8585,8935,8585,8845,13177,139240,TIGER 200 철강소재
2024-12-24,9190,9190,8910,8940,1630,139240,TIGER 200 철강소재
2024-12-26,9035,9045,8900,8950,155717,139240,TIGER 200 철강소재
2024-12-27,8950,8950,8550,8600,5414,139240,TIGER 200 철강소재
2024-12-30,8570,8730,8545,8600,20280,139240,TIGER 200 철강소재
2025-01-02,8660,8660,8460,8460,2041,139240,TIGER 200 철강소재
2025-01-03,8700,8785,8595,8700,2339,139240,TIGER 200 철강소재
2025-01-06,8700,8840,8210,8800,22044,139240,TIGER 200 철강소재
2025-01-07,8900,8935,8860,8915,3517,139240,TIGER 200 철강소재
2025-01-08,9040,9040,8725,8860,1761,139240,TIGER 200 철강소재
2025-01-09,8860,8865,8790,8825,1051,139240,TIGER 200 철강소재
2025-01-10,8825,8895,8760,8855,1430,139240,TIGER 200 철강소재
2025-01-13,8855,8855,8670,8670,2303,139240,TIGER 200 철강소재
2025-01-14,8755,8870,8700,8865,4266,139240,TIGER 200 철강소재
2025-01-15,8830,8885,8805,8820,3260,139240,TIGER 200 철강소재
2025-01-16,8825,8975,8820,8905,389,139240,TIGER 200 철강소재
2025-01-17,8850,9040,8850,8930,5629,139240,TIGER 200 철강소재
2025-01-20,8930,9230,8930,9200,12055,139240,TIGER 200 철강소재
2025-01-21,9290,9290,8920,8940,6695,139240,TIGER 200 철강소재
2025-01-22,8950,9040,8885,8995,12654,139240,TIGER 200 철강소재
2025-01-23,8995,8995,8850,8850,2985,139240,TIGER 200 철강소재
2025-01-24,8850,9105,8850,9075,5978,139240,TIGER 200 철강소재
2025-01-31,8930,9070,8920,8920,2358,139240,TIGER 200 철강소재
2025-02-03,8850,8850,8415,8440,4685,139240,TIGER 200 철강소재
2025-02-04,8460,8570,8440,8510,1354,139240,TIGER 200 철강소재
2025-02-05,8510,8580,8485,8500,1158,139240,TIGER 200 철강소재
2025-02-06,8500,8565,8500,8565,1092,139240,TIGER 200 철강소재
2025-02-07,8565,8665,8550,8585,38110,139240,TIGER 200 철강소재
2025-02-10,8525,8525,8390,8510,46744,139240,TIGER 200 철강소재
2025-02-11,8520,8595,8480,8480,9918,139240,TIGER 200 철강소재
2025-02-12,8455,8535,8420,8475,18107,139240,TIGER 200 철강소재
2025-02-13,8485,8825,8485,8775,69064,139240,TIGER 200 철강소재
2025-02-14,8840,8970,8785,8900,19020,139240,TIGER 200 철강소재
2025-02-17,8900,9080,8850,9060,29171,139240,TIGER 200 철강소재
2025-02-18,9115,9165,9045,9110,5880,139240,TIGER 200 철강소재
2025-02-19,9140,9310,9140,9270,13635,139240,TIGER 200 철강소재
2025-02-20,9355,9545,9275,9505,14542,139240,TIGER 200 철강소재
2025-02-21,9750,9960,9680,9745,61590,139240,TIGER 200 철강소재
2025-02-24,9695,9730,9605,9695,33773,139240,TIGER 200 철강소재
2025-02-25,9650,9660,9490,9510,14147,139240,TIGER 200 철강소재
2025-02-26,9620,9680,9545,9670,1679,139240,TIGER 200 철강소재
2025-02-27,9670,9725,9630,9725,18481,139240,TIGER 200 철강소재
2025-02-28,9620,9620,9380,9520,1501,139240,TIGER 200 철강소재
2025-03-04,9370,9550,9350,9370,23529,139240,TIGER 200 철강소재
2025-03-05,9370,9635,9370,9635,41521,139240,TIGER 200 철강소재
2025-03-06,9710,10105,9710,10045,48210,139240,TIGER 200 철강소재
2025-03-07,10045,10685,10000,10590,53850,139240,TIGER 200 철강소재
2025-03-10,10595,10595,10265,10495,45260,139240,TIGER 200 철강소재
2025-03-11,10170,10230,10085,10155,9754,139240,TIGER 200 철강소재
2025-03-12,10165,10605,10090,10605,42194,139240,TIGER 200 철강소재
2025-03-13,10590,10630,10425,10580,60437,139240,TIGER 200 철강소재
2025-03-14,10500,10640,10310,10320,50785,139240,TIGER 200 철강소재
2025-03-17,10355,10390,10280,10295,96718,139240,TIGER 200 철강소재
